"","No","事故状況","ガス種","原因","結果","突発性","状況"
10,1317,"液化塩素をタンク車に充てん中、別のタンク車２両をけん引きしたディーゼル車が塩素タンク車に衝突して充てん用配管が破損して塩素が漏えいした。","c","b","a","a","b"
11,17269,"運転中の直接重油脱硫装置において、塔槽の圧力発信器周辺でスチームトレーサの通気状態を確認中に圧力発信器取出しノズル2次側配管より、水素ガスの漏えいを発見したため、直ちに漏えい周辺箇所のブロックおよび脱圧を行い漏えいが停止したことを確認した。","a","d","a","c","d"
12,10362,"重油分解センターのアルキレーション施設で、パトロール中の作業員が、反応器のメカニカルシール部より内溶液が漏えいしているのを発見した。直ちに、装置を停止し、液抜き、パージ後に詳細な点検を行ったところ、メカニカルシール部ではなく、シールオイルドレンボス溶接部のピンホールからの漏えいであることが判明した。原因は、この反応器は1972年に製作した機器であり、製作時のバルブのボスと配管の隅肉溶接に溶着金属の溶接融合不良があったためと推定される。","a","a","a","b","a"
13,13855,"7月6日9時20分頃、冷凍機運転準備のために圧縮機の圧力確認を実施したところ、吸入･吐出圧力の低下を確認した。圧力計の故障と推測し、冷凍機を起動したところ、異常警報が発報し、自動停止した。翌日10時頃、業者がフルオロカーボン22の回収を実施したところ、充てんされていた50kgのフルオロカーボンを回収できず、漏えいの判明に至った。なお、人的･物的被害はなかった。原因は、中間冷却器の外部腐食により、ピンホールが発生したためと推定される。事故の検証が終わり次第、事故機に対し適切な補修をし、予備機として使う予定である。また、抜本的な老朽化対策として、今年度中での冷凍機の更新を予定している。事故機と同型の冷凍機を停止させ、同様の腐食がないか中間冷却器の肉厚測定を行うなど、設備の点検を行い、運転上問題ないことを確認した。なお、中間冷却器には防さび塗装を行った。工場内および関連事業所に事故情報を共有化した。","a","a","a","b","b"
14,2585,"減圧軽油水素化脱硫装置の熱交換器への入口配管のベントノズル部から白煙が発生しているのを発見し、装置を停止した。幸い、出火に至らず、またケガ人も出ていない。フランジ部にゴムのガスケットが使用されていたため、内部流体の熱により損傷したもの。本来の運転時にはSUSのリングガスケットが使用されるが、中和洗浄の際に取り替えたゴムのガスケットがそのまま使用されていた。","a","b","a","a","d"
15,5837,"定期自主検査中に、酸素ＣＥにおいて圧力計取り出し配管継手部（2箇所）から、また窒素ＣＥについて配管継手部2箇所、安全弁取り出し配管ユニオン継手部及び仕切り弁グランド部（計4ヶ所）から、微少なガス漏れ(カニ泡)が発見された。当該設備は設置後20年以上経過していることから、原因は経年劣化によるものと推定される。今後は、酸素漏れ箇所の銅管はステンレス管に変更し、窒素漏れ箇所においては継手交換、バルブ交換、グランドパッキン交換、配管の材質変更等を検討することとした。また、定期パトロール方法を見直し、ガス漏れ検出精度の向上を図ることとした。","a","a","a","b","c"
16,380,"アイソマックス装置（原油を精製し、液化石油ガスを取り出す装置）の定期修理のため操業を停止していたが、当該装置の下部から爆発音とともに約2mの炎が上がり、10m四方にわたり火災となった。（原因）運転を停止し、塔槽関係のスチームパージ作業を行っていたが、各加熱炉の火は消され、火気は全く存在しない状態であったので、①硫化鉄の自然発火②ガスの高温物体への接触による着火③静電気による着火等が考えられたが、委員会では③静電気であると結論づけた。","a","b","b","a","c"
17,790,"原油分解炉から発生する原料ガス（水素、一酸化炭素、炭酸ガス等混合ガス）の一部を抜き取り、一酸化炭素を精製する工程にある炭酸ガス吸収塔の下部配管が破裂した。原油タンク中に混入していた水により原油分解ガスの組成が変化したため、炭酸ガス吸収塔での反応が進み異常圧となったものである。","c","b","a","a","b"
18,13070,"5時00分の現場巡回時には異常はなかった。11時30分、巡回中にガス臭がしたので、原因調査を開始した。12時45分に、ガス漏えい箇所を発見した(ノズルフランジの保冷が凍結していることを発見)した。12時55分に、ガス漏えいと判断し通報した。2012年の定期修理では、機器を開放した際、開放工事後に実施した気密試験では漏れはなかった。原因は、該当フランジの締め付けが不均一だったため、その後のシャットダウン・スタートアップに伴う運転温度変化(締め付け時常温、運転時0℃前後)により、締め込みが不十分であったボルトが徐々に緩んだことによると推定される。","d","b","a","b","d"
19,3653,"尿素製造施設内の液化アンモニア（液安）用ポンプの修理作業が終了し、スタートアップ作業中に、ポンプを液安に置換するため、ポンプ吐出側にあるブローバルブを開く時にバルブを開けすぎた。このため、ブローバルブの先の配管が接続しているガス分離器の内圧が上昇し、ガス分離器の破裂板が作動してガスが大気放出された。","c","b","a","a","b"
20,24,"当日、朝8時プラントの補修をし、午後8時スタートの準備に入り、ポンプ蒸発器の間の流量計調整のため蒸発器前のバルブを閉じ、ナフサを通したところ、しばらくしてバルブの漏れを発見、直ちに蒸発器内にたまったナフサのドレーン抜きをし、ナフサは残っていないものと判断し、蒸発器と予熱器にスチームを通しパージしたところ、なお残ガスがあったため、放出管から外に出て地上に滞留した。これに気付かずその後のテストで予熱器に点火したため引火し火災となった。泡沫消火器により約5分後に消火した。","a","b","b","a","b"
21,17239,"2013年新規設置の水冷式チラーについて、蒸発器（ブレージングプレート熱交換器）内部に冷水負荷設備に由来する鉄錆が混入し、冷水流路の局所的な閉塞が発生し、冷水が凍結した事で、蒸発器のブレージングプレート熱交換器(SUS316製）を破損させ、冷媒ガスが冷水系統に漏洩した。","a","a","a","b","d"
22,4496,"台風の強風により、液体窒素供給設備のエアフィン式蒸発器が転倒し、液体窒素入口ノズル、及び窒素力ス出口ノズルが破損した。転倒に気付いた従業員がコールド・エバポレータ（ＣＥ）貯槽の元バルブを閉めるまでの数分間、破損箇所から窒素が漏えいした。これは当該蒸発器の基礎ボルトが図面で指示されていたボルトよりも約１／3の長さのポルトが使用されており、今回の台風の強風によって基礎ボルトの埋め込み不足によりボルトが引き抜かれて蒸発器本体が転倒し、ノズルが破損した。","d","b","a","a","a"
23,17774,"１．発生場所、漏えい箇所の概要
当該漏えいは、反応開始準備状態のC系統の反応器出口配管に接続している自動弁のフランジ部で発生しました。
２．経緯【3月14日】
20:25　現場にて定期作業実施中に、当該自動弁フランジ部から塩化メチルが漏えいを覚知
前後フランジ増し締めするも漏れ止まらず
漏れの状況は、前流側1滴／秒、後流側5滴／秒程度。滴下した塩化メチルが出口配管下の水受け内に約1リットル程度溜まっていた
・20:28　水受け内の塩化メチルをスチームで拡散実施
・20：31　被害拡大防止のため公設消防通報。同時に反応器前流弁閉止等、系の縁切り開始
・20:37　反応器C系の緑切り操作完了
・20:41　共同防災出動要請
・20:42　公設消防入構
・20 :43　C系の縁切り後、降圧(0.20→ 0MPa)を反応器上部圧力計にて確認。漏れ停止。
・20：52　 反応器内容物の回収操作でN2注入し後流設備へ回収開始
・21：02　自動弁前後フランジソープチェック行い漏れ無し
・21:18　公設消防現場撤収
・21:30　公設消防退場
・21：31　共同防災退場後
後日、緊急対策会議実施","c","d","a","c","b"
24,243,"ガス精製工場廃熱ボイラー入口管ベンドが破裂し、噴出エチレンガスに着火、ガス圧縮機工場並びに機器の一部を損傷し約5分間燃え鎮火した。（原因）反応器におけるエチレンガスのデコンポジションによる灼熱カーボンが未反応ガスリターンに流れ、これが何らかの形でエチレンガスと作用し、異常反応を起こし事故となったものと推定される。","a","d","e","a","d"
25,13145,"8月8日2時30分に、オペレーターが製造施設内でブタジエン臭気に気づき、ボードマンへ報告して現場点検を実施した。2時40分に、PLY-10TK(反応器、ブタジエン仕込み量1086kg)上部マンホールにあるサイトグラス弁下部のフランジ部よりブタジエンガスが漏えいしているのを確認した(可燃性ガス検知器の作動なし)。ボルト増し締めをするも漏えいが止まらないため、PLY-10TKへ緊急停止剤を添加した。2時50分に、119番通報した(2時55分、現地本部設置、2時57分、消防到着)。3時00分に、PLY-10TKブタジエンガス、モノマー回収を開始した(容量5770kg、缶圧310kPa、反応率48.7％)。4時10分に、PLY-10TK缶圧84kPaまで下がるも漏れは止まらず、微量の漏れが継続した。4時29分、未使用のPLY-10KK(反応器)へPLY-10TK内容物の移送を開始した。5時15分に、PLY-10TKの空を確認し、漏えいが止まった。5時42分、消防、共同防災隊が退場した。原因は、PLY-10TK上部マンホールのサイトグラス弁(100A)下部のガスケットが膨潤変形して隙間ができていたためと推定される。ガスケット材質を確認したところ、当該箇所は反応器第一バルブ前後のためT/＃9007-LPを使用するところ、その他ケミカル用T/＃9007-LCを使用していた。今後は、工事検収の際、フランジ間のガスケット材質を目視確認する。","c","b","a","c","d"
26,1009,"原料塩素電解製造設備の精製工程にある塩素ガス脱水塔4基のうち使用中の3基が爆発し、内部充てん物（磁製ラシヒリング）及び脱水用濃硫酸が飛散するとともに内部の塩素ガス約60m3が漏えいした。","c","d","e","c","d"
27,8195,"4月22日、液化酸素、液化窒素、液化アルゴン製造設備で、スタートアップ過程でLNG熱交換器、及び窒素循環系の温度コントロール不可のため、圧縮機が停止した。温度コントロールの不調は、熱交換器から圧縮機への冷熱窒素の戻しが適正でなかったと判断し、再スタートの準備に入った。スタートアップ用LNG蒸発器の元弁を開状態から閉止しようとした時に、元弁のグランド部からLNGが漏えいした。漏えいの発生したバルブを分解、整備、耐圧試験を実施し、4月26日に3回目のスタートアップを行った。LNG熱交ボックスの内圧が上昇するも、警報設定値を高く設定していたため、アラームは発報しなかった。また、当該場所のガス検知器は、スイッチがOFFの状態とされていた。4月27日の運転員パトロールで、LNG熱交ボックスのブリーザー弁からの漏えいを確認し、LNG受入を停止し、ラインの脱圧、窒素パージを実施した。熱交換器の元弁グランド部からの漏えいの原因は、当該弁のグランド締付ナットの片締め(数年前と推定)により、弁棒とパッキン押さえ輪が接触した状態となり、グランド部のシール性に偏りが生じ、この状態のまま使用したためシール性が維持できなくなったと考えられる。当該弁は通常時閉止であり２次側に圧力が無かったため、日常点検ではグランド漏れが発見しにくい所であった。また、LNG熱交ボックスのブリーザー弁からの漏えいの原因は、1回目のスタートアップ過程で、LNGと循環窒素の熱交換設備で通常スタートよりも大きな温度変化を与えたために、ボックス内のアルミ製熱交換器のろう付け部にクラックが発生したためと推定される。今後は、使用前点検時に2次側の圧力を張った状態でのグランド漏れ有無の確認を追加することとした。また、運転マニュアルにスタート直後の操作重要項目として、今回トラブルの再発防止ポイントを付記することとした。","a","b","a","b","b"
28,756,"メラミン第3製造施設の排ガス吸収装置の温度が上昇した。作業員は直ちに熱回収系のスチーム圧力を27kg/c㎡gより20kg/c㎡gまで下げ温度の低下を図ったが洗浄塔の下部温度が上昇したため再度スチームの圧力をさげたが温度がさがらなかった。このためメラミン排ガスの吸収塔への仕込みを停止し硫安工場へ切替えた。上記の経過のなかで、洗浄塔の未吸収アンモニアガスがガスコンデンサーに入り、充分に回収されず大気へ放出された。","c","d","a","c","d"
29,15751,"事故当時、空気液化分離装置のNo2酸素圧縮機(高圧ガス設備)は、約1時間前に立ち上げ、通常運転にあった(圧力1.35MPa)。17:30、酸素サージタンク圧力低下の警報発報、また大きな異音が聞こえるとの連絡があった。17:50頃、現場に急行し、当該圧縮機の2段クーラーの上フランジ部より酸素ガスが漏えいしているのを覚知。速やかに当該圧縮機の運転停止および脱圧を実施し、被害拡大の可能性がないことを確認した後、県に通報した。なお、酸素ガスの漏えい量は100～300m3である。事故調査の結果、2段クーラーの本体フランジ、管板およびガスケットに関して以下を確認したことから、漏れ箇所はフランジの歪みによりガスケットに面圧が掛かり難くなっていたことが原因と推測する。なお、本体フランジの歪みの原因としては、1971年製作当時から長年のボルトの締めすぎによる可能性がある。
1、本体フランジに歪みがある。
2、ライニングと管板の隙間は、漏れ箇所が最も広い。
3、ガスケット(テフロン)の厚みは、漏れ箇所が他よりも厚い。","a","a","a","b","a"
30,5543,"平成18年10月25日午後から、当該事業所の液化塩素充てん設備ローリー車充てん場は充てん配管の更新工事中であった。17時頃から、同社作業員が同圧ライン配管の更新工事のため、配管内部の残留塩素ガスの吸引除害作業にとりかかった。除害設備への吸引用ホースを同圧ライン配管に接続し、作業員1名が配管側のバルブを開いたところ、吸引用ホースのダンパーの開度が小さかったため除害設備側へ流れず、ダンパーの隙間から塩素ガスが漏えいした。当該作業員は防毒マスクを着用していなかったため、誤って塩素ガスを吸入した。当該作業員は直ちに配管側のバルブを閉め塩素ガスの漏えいを止めた（塩素ガスの推定漏えい量は約15～30リットル）。吸引した作業員は事故直後には体に異常を感じなかったが、翌26日夜に胸に違和感を訴えて、病院で診察を受けた。県への通報は事故発生2日後の27日であった。原因は、作業手順通りに作業しなかったことにより、配管内に塩素ガスが残留していたこと、及びダンパー開度が未確認だったためとみられる。本来は、配管の片端を除害設備への吸引用ホースで吸引し、他方から空気を送気して配管内を空気置換すべき作業であったが、事故当時は片端のみから空気を圧入し、同片端から圧抜きしていたため、配管内には塩素ガスが残留していたと考えられる。また、配管内の除害作業は、通常吸引用ホースのダンパーを開いて行っているが、事故当時はダンパーがほぼ閉止状態であった。ダンパーの開度の確認をせず同圧ライン配管側のバルブを開いたため、圧力をもった残留塩素ガスが配管から流れ出してダンパーの隙間からガスが漏えいしたものと推定される。また、防毒マスクは首には掛けていたが装着していなかった。今後は、除害設備のダンパーを構造上隙間の無いバルブタイプに変更することとした。また、全作業員の作業中マスク着用・記録実施、及び塩素ガス除害の作業基準書を作成することとした。さらに、塩素ガス誤吸引時の緊急連絡に係る教育訓練、及び安全行動チェックシートを作成し、係・グループ単位での確認を実施することとした。","c","b","d","a","c"
31,15170,"11月21日、使用中の日常点検時、電磁弁からフルオロカーボン漏れを発見したため、冷凍機を停止し、メンテナンス会社の点検を受けた。電磁弁を挟み込むフランジ部から漏えいしていたため、増し締めを行い、漏えいがないことを確認した後、運転を再開した。11月24日、冷凍機が自動停止したため、点検を受け、冷媒チャージ口グランド部から冷媒漏れが確認された。増し締めで漏えいは止まったが、冷凍機は油圧異常等で停止するため、使用不可となった。","a","a","a","c","a"
32,7319,"灯軽油水素化脱硫装置内で、水素ガスコンプレッサーの吸入側圧力計取り出し配管より、水素ガスが漏えいしガス検知器の鳴動によりガス漏えいを覚知した。直ちに、装置の緊急停止操作を行うとともに、関係官庁に連絡した。原因は、経年的な腐食減肉によるものと推定される。また、導圧管の管理方法の不備も考えられる。","a","a","a","b","d"
33,4094,"脱硫塔の触媒交換のため、縁切り・窒素洗浄を行い、塔を開放して触媒抜き出し作業を実施していた。ホッパー下部の飛散防止用のビニールが熱により収縮してきたので、樹脂製フレキホースに付け替えを行った。その後、触媒抜き出し作業を再開したところホッパー下部のフレキホースからの出火を作業員が確認、直ちにホッパー落ち口ダンパーを閉止、消火器にて出火フレキホースを消火して鎮火した。大気中の水分を吸湿して温度上昇した触媒が、樹脂製フレキホースを溶かし、発火に至ったとみられる。","c","b","b","a","c"
34,1243,"ナフサ水添脱硫装置の反応器から出た熱交換器部分の、配管立ち上がり部分の肉厚が異常に薄くなり、内圧に耐えられなくなって破損し、ナフサが噴出し着火した。塩化物堆積防止用として注入されていた水が、液体中の塩素分と化合し、腐食性物質を形成したものと推測される。","a","b","b","b","d"
35,10157,"事業所内で、21時43分頃、常圧蒸留装置をパトロール中の製造係員が、デプロパナイザーリボイラー出口配管付近に霜が付着していることを発見し、すぐに内部流体のブタンが漏えいしていることが確認された。保安上の措置として、直ちに常圧蒸留装置を緊急運転停止し、脱圧を実施した。原因は、この配管には保温材が施工してあるが、保温板金のズレによる隙間が見られた。よって、保温板金の不良箇所から内部に雨水が浸入、滞留したことによって経年的に外部腐食が進行したためと推定される。この事業所では、保温板金を施工している配管について順次不良箇所の点検を進めており、特に不良が顕在化してきていた小径配管(2B以下)の検査は完了していた。それ以外の配管については順次確認を進めているところであったが、今回のような外面腐食感受性の高い低温保温配管を優先的に実施する計画とはなっていなかった。","a","a","a","b","a"
36,7439,"石油化学事業所内で、協力会社従業員が配管のバルブから、プロピレンが漏えいし出火しているのを発見したため、従業員に連絡した。直ちに、事業所の自衛防災隊員が粉末消火器を用いて消火した。原因は、前日に当該バルブを操作した際、グランドパッキン部に緩みが生じたためと推定される。","a","d","b","a","d"
37,15247,"・AC-３冷凍機は、2017/4/24発生後の冷媒再充てん以降の稼働はなく、週1回の点検のみ行っていた。
・7/11の点検時までは異常はなかったが、7/18に圧力計が0MPaを示したため、漏えいとして認識し、県西Cに事故として通報。
・4/24との関連については、前回の事故発生後から7/11までの間に実施した週1回の点検で漏えいが確認されなかったことから、7/11～18までの間に漏えいが発生したものであり、両者に関連は認められなかったと結論づけた。気密試験、漏えい試験を実施。リークチェックスプレーによる漏えい試験よりAC-3圧縮機No3IN側フランジ接続部からの極微小リークを確認。8/28同フランジ部を分解し、状況を目視にて確認の結果、漏えいの原因となるような著しい損傷は確認できなかったが、冷凍機メンテナンスメーカーの所見として、圧縮機の振動により配管フランジ部パッキンが劣化したものと推定される。","a","a","a","b","d"
38,7462,"エチレン製造施設のB系の分解炉の停止作業中、間違って隣接する運転中のA系分解炉のドレン弁を開放したため、配管内部よりナフサが流出し、A系分解炉の炉壁にあたり着火し、火災が発生した。直ちに、製造施設の運転主任が消防へ通報すると共に、プラントを停止した。B系分解炉は、前日より停止作業を実施しており、希釈蒸気置換が完了したため、窒素置換ラインセットが実施されていた。オペレーターは、窒素供給の前に、重質油原料流量調整弁、ナフサ流量調整弁及び希釈スチーム流量調整弁のドレン弁を開ける作業をしていた。続いて、第3ステージより重質油流量調整弁のある第4ステージに上がり、B系分解炉に行くところを間違って、隣接するA系分解炉(ナフサ分解中)側に移動し、重質油流量調整弁の後流ドレン弁を開放したため、漏えいが発生した。","c","b","b","b","d"
39,7218,"巡回点検中に当該熱交換器のプラグねじ込み部より漏えい跡を発見した。漏えいは進行していなかった。増し締めを実施した。原因は、締付け管理不良と推定される。","d","b","a","a","a"
40,1367,"重油直接脱硫装置の頂底間差圧測定用水素配管からガスが噴出したので、緊急移送設備を利用してフレアーにガスを放出し減圧した。近くの加熱炉の火を消しスチームカーテン等を作動させた。消防車及び放水砲等で散水しながらガスを拡散し20分後に圧力が低下し漏れが止まった。","a","d","a","c","d"
41,773,"停電により緊急停止していたポリプロピレンペレット工場付近において爆発が発生し、プロピレン重合装置まで被災した。（原因）プロピレン重合槽の下部のバルブの誤操作により噴出した大量のガスが隣接のペレット工場まで流れて着火し爆発に至った。（参考資料）ポリプロピレン製造装置事故調査報告書、48.11、通商産業省","c","a","f","b","d"
42,333,"青酸ガスの供給をうけ液化シアン化水素を製造する過程で17:00頃精留塔において異常反応が起り温度35℃に上昇したのですぐ原因を究明したがわからなかったので19:50に生産を停止して再検査したところ未反応ガスを燃焼させる装置の手前にドレンセパレータがありそこから液が2～3滴漏れていたのを発見したので作業員3名（主任10年経験者、課長10年経験者、作業員生産関係の作業は6ヶ月）がドレンバルブからゴムホースで中和槽につなぐ作業を行い作業終了1時間後作業員が死亡した。なお、作業には各人専用の防毒マスクを着用していた。","c","d","d","c","d"
43,10426,"事業所内で、実験準備のためブンゼンバーナーでビーカーにお湯を沸かしていたところ、火災が発生した。メーカーによる配管全体の漏えい検査を実施した結果、漏えいは認められなかった。原因は、検査台から床面へ炎が広がったとの証言があり、何らかの理由で漏えいしたLPガスに着火し、炎上したと推定される。切断したドラフトの排気ダクトは、原因の調査のため検査中である。","a","d","b","b","d"
44,6551,"酸素圧縮機（ターボ式、 6段）において、2段目から振動発報があり、圧縮機が非常停止した。直後に吐出温度の高温発報があり、工場建屋の煙感知器が作動してAr消火ガスの自動吹き込みが開始された。駆けつけた作業員が当設備上部からの発煙を確認し、直ちに窒素パージ及び散水による冷却措置がなされた。事故後の調査の結果、圧縮機の軸シール部、付近の配管等が溶損していた。原因は、軸シール部にあるフィンが軸シール部内で接触・欠損し、その破片が異常発熱したためと推定される。また、軸シール部内でフィンが接触した原因は、装置起動時の寸動を実施しなかったため、装置構成部品に熱歪みが生じたことと考えられる。今後は、起動時に寸動を常時実施するよう、シーケンスを改良することとした。また、振動レベルに対して変化があった場合に、アラームを発する傾向監視を実施し、軸シールが接触する振動を検知した場合は警告を発報することとした。","a","b","b","b","a"
45,18166,"フロン冷凍機の油分離機液面計の低下アラームが吹嗚し、現場確認をしたところ、油分離機の液レベル低下を確認した為、炭酸ガス製造施設を停止した。建屋外にある潤滑油導圧配管が破損し潤滑油が漏洩したことにより、油分離機の液面が下がり、潤滑油導圧配管の破損箇所から0.57tonのフロンが大気へ放出された。","a","d","a","c","d"
46,15305,"大型容器充てん場フレキの付け根部から漏洩していることを発見したため、使用禁止措置を講じた。翌日、フレキを取替え、充てん再開した。フレキシブルホース継手の疲労による破損","d","a","a","b","d"
47,3067,"灯軽油水素化脱硫装置の運転中、A号機の遠心うず巻きポンプのサクション側ストレーナーの詰まりのためにスペアポンプ（B号機）に切り替え掃除を行った。掃除終了後、A号機のポンプを起動させたところ、メカニカルシール部より硫化水素を含む灯軽油が霧状に噴出した。ポンプメーカーでのポンプ組立て時にベアリングナットの締付不良により軸方向にガタがあり、起動時の軸方向移動が許容範囲を超えていた。","a","b","a","b","a"
48,8122,"プラントの運転中、運転員が現地パトロールを実施していた時、循環廃ガスラインの圧縮機吐出側にあるシクロヘキサン凝縮用コンデンサーの出口配管において、滲み漏れらしき跡を発見したため、ガス検知を実施したが検知せず、臭気もなかった。念のため、当該設備を停止し、配管を取り外して常用圧力以上での気密試験を実施した結果、微少漏れを確認した。原因は、特殊グレードのステンレスエルボの製作上の不具合による、材質劣化(鋭敏化)と振動による繰り返し引張り応力によるものと推定される。","a","a","a","b","a"
