"","No","事故状況","ガス種","原因","結果","突発性","状況"
176,7419,"高圧法ポリエチレン製造設備を運転中、作業員が異臭に気付き周辺を調査した。結果、エチレン受け入れ配管の圧力調節弁バイパス部の短管溶接接合部から、エチレンの漏えいを確認したため、施設を緊急シャットダウンした。原因は、き裂発生箇所は、建屋内ではないため降雨等の影響を受け、また弁操作するため断熱膨張により結露も発生しやすく、それらの影響で配管の外面腐食が進行し、部分的な減肉が進んだためとみられる。また、配管工事施工時に、狭い面間を開いて閉止弁を取り付けたため応力がかかっており、減肉が進んだある時点でき裂が発生したと推定される。今後は、外面腐食管理プログラムの見直しを実施することとする。","a","a","a","b","a"
68,5504,"2006-396＞ＬＰガス容器の盗難平成18年8月12日、消費先に設置してあった20㎏容器2本のうち1本が無くなっていることに消費者が気付いたが、特に連絡をしなかった。検針員の証言では、同年7月20日前後の検針時には2本の容器の設置が確認されていたが、8月30日前後の検針時には容器が1本に減っていた。しかし、検針担当者は使用量が少ないため減らしたものと思いこんでいた。同年9月27日に、定期点検調査を実施した担当者が、20㎏容器1本が無くなっていることに気付き、盗難されていたことが判明した。なお、現場は工場で夜間は無人であり、道路に面していて容易に侵入できる場所に容器は設置されていた。","a","b","h","a","d"
108,12753,"チラーが停止し、その後装置の再稼動・停止を2回繰り返したため、異常調査を行った結果、低圧カットが作動していた。メーカー代理店へ点検調査を依頼した結果、凝縮器からの冷媒回収中に水が大量に回収された。原因は、冷媒ラインに水があることから、凝縮器シェルアンドチューブに穴開きが発生し、冷媒ガス系統に水が浸入し冷却水とともにクーリングタワー内に行き、大気に放出(冷媒漏えい)したと推定される。","d","a","a","b","d"
349,17103,"・対象設備　法定冷凍トン59.1トン（高圧ガス付属冷凍設備）　漏えい量：42.1kg（推定）
（漏れ量42.1kg＝冷媒（R22）初期充填量50kg－回収量7.9kg）
・4/25冷凍水を冷却するため運転するも「圧力異常」で即停止。4/28漏えい検知器を使って各部の漏れチェックしたところ圧力機サクションの角形フランジ部より漏れを発見した。増し締めで漏えい停止。発泡液での検査ではカニ泡程度の漏れ量であった。","c","d","a","b","a"
327,14870,"4月15日、フロン排出抑制法に基づく定期点検を実施したところ、当該冷凍機の冷媒圧力が高圧側、低圧側とも0MPaまで低下していた。窒素による気密試験を実施したところ、低圧側圧力センサー取付用の枝管のろう付け部に亀裂があり、当該部からガスが漏えいしていることを確認した。冷媒ガスの漏えい量は、ほぼ全ての冷媒が漏えいしているものと考えられることから、約28kgと推定される。当該部は、圧力センサーを取り付けて重さに偏りのある部分であったため、振動の影響を受けやすい部分であった。当該圧縮機については、使用開始から22,500時間(「パッケージエアコンの主な部品の保守･点検ガイドラインにおける推奨交換時間20,000時間を超過)していると見積もられるため、経年劣化により異常振動が発生していたものと推定される。","d","a","a","b","c"
177,2762,"重油直接脱硫装置の運転中、反応塔供給加熱炉の加熱炉管が破損し、発災した。加熱炉管は入口側で2パスに分かれ、出口側で合流する構造となっている。加熱炉の中心にバーナーの焚口が10個設置されており、事故当時10個のうち6個を点火していた。加熱炉管の入口側が軸方向に開口し、またUベンド近傍が4ヵ所溶融している。長期的にバーナーを入口側に偏らせた焚き方をしていたことにより局部的にコーキングが生成・成長し、管壁温度が上昇し、材料強度が低下して短時間クリープにより破損したもの。","a","d","b","b","a"
161,17958,"・8月16日、空調用冷凍設備が、低圧カットにより空調機停止。以降、予備機で運転。 
・8月30日、充填量28kgに対し回収量9.8kg（漏えい量18.2kg）である旨、事業者がメーカーから点検報告を受け、9月1日に県に報告があった。 
・窒素加圧による漏えい調査を行ったところ、圧縮機ガス回収用の止弁キャップから漏れを確認。更にキャップを外すと、弁棒とグランドの隙間からの漏えいを確認。 ","d","a","a","c","b"
320,4461,"製油所において接触改質装置の反応塔入口配管フランジ部より可燃性ガスが漏えいし、火災が発生した。火災発生後、直ちに当該装置を緊急停止して窒素パージを実施、まもなく自然鎮火した。当日はフランジ部において劣化したウェザーシールを取り替える工事を行っており、発災箇所のウェザーシールは発災直前に新規製作のタイプに交換されていた。新規製作された代替品は従来の物よりも通気性が悪く、熱がこもりやすい構造になっていたため、ウェザーシール内部の温度を上昇させることになり、フランジよりもボルトの温度が上昇して、フランジの締め付け力が低下、そのため内部流体が漏えいして空気と触れたことにより自然発火し、火災に至ったものとみられる。当該部位は他のフランジ部と比較しても長いボルトを使用していたため、この現象を顕著に受けたと考えられる。","a","a","b","a","a"
446,16763,"当該気が緊急停止したとの事でメーカー出向。点検の結果、クーラ（冷水プレート熱交換器のピンホール）より高圧ガス（R407C）が漏えいしている事を確認。機内冷媒回収し、7kg回収。定格28kgであり、21kg漏えいしている事を確認。チラー内部の蒸発器の経年的な劣化が原因と判明。","d","a","a","b","d"
86,16754,"令和元年8月26日（月）空調機（室外機）で騒音と白煙を確認したため当該設備を停止。調査の結果、凝縮器（熱交換器）の破孔部分から冷媒ガス（R410A）が29.9kg漏えいしていることが判明した。空調機（室外機）冷却ファンの円筒ハウジングが経年劣化により脱落し、FRP製インペラを折損。インペラの破片が飛散し凝縮器（熱交換器）が破孔したものと思われる。","a","a","a","b","a"
215,1328,"原料ノルマンパラフィンのフィールドポンプのメカニカルシール部より原料が洩れ発火","a","a","b","c","d"
170,6274,"市道を横断する、工場間の水素導管（道路の上越え箇所は二重配管構造）の定期点検中に、二重配管の外管テストホールにおいてガス検知器により可燃性ガスを確認したところ、一箇所においてわずかに可燃性ガスを検知した。外管を撤去し、内管の気密試験を行ったところ、内管の表面にピンホールを発見した。この配管は、導管が市道を横断する部分のみ、内管（3B：STPG370）及び外管（5B：SGP）からなる二重配管構造となっている。端面の雨養生もなされていたが、隙間から雨水が浸入し、内管の表面が腐食し、ピンホールが発生したためと推定される。事故後、当該配管は更新された。","a","c","a","b","c"
471,15667,"製造係が巡回点検中に、反応塔下流配管の保温内部より小火を覚知した。公設消防へ通報後、用役装置を除く全装置の緊急運転停止操作を行った。冷却・拡散のため発災箇所へスチームを吹き付けたところ、火はすぐに収まり、窒素を投入して鎮火を確認した。事故後の調査で反応塔出口レデューサー配管とバルブを接続する溶接線端部にクラックが発生していることが分かった。着火の原因は、クラック部から高温の内部ガス(水素および改質油)が保温内部に漏出し、空気と接触したことで自然発火したと推定される。クラックの原因については、当該反応塔は定期的に運転、再生を繰り返しており、その際に当該部が温度変化を繰り返す為、熱応力が繰り返し加わり、熱疲労割れが起こったためと推測される。","a","a","b","b","c"
458,4353,"化学工場の専用埠頭内で、容器置場に予備として保管してあった41㍑アセチレン容器1本及び、47㍑酸素容器2本が盗難にあった。","a","b","h","a","d"
13,2357,"ポリエチレン製造装置で製品グレードの切替えに伴って、抽出機のスクリーンパック交換のため重合系の停止操作に入った。通常の運転状態から圧力を降下させ触媒の供給を停止した。さらに、圧力、温度を下げていたところ、隔壁内に設置された反応器の安全装置取付部よりエチレンガスが噴出し着火した。定期修理時にフランジ継手のコーンリングガスケットを交換した際、初期セッティングが不良であったもの。","a","b","b","b","b"
342,16033,"重質軽油水素化脱硫装置エリア内の加熱炉で、定期自主点検の一環でインターロックの運転中検査を実施していたところ、検査員の意図に反して、燃料ガス（非高圧ガス）供給が停止しバーナーが消炎した。その後、誤って燃料ガス供給を再開したところ、加熱炉内で燃料ガスが異常燃焼を起こし、爆発に至った。インターロック運転中検査を実施する際に、検査環境の設定のためにバルブ等を操作する作業を実施していたが、本件では作業手順の確認等が不十分であったために、作業員が誤ったバルブ操作を行ってしまい、当該加熱炉への燃料ガス（非高圧ガス）供給が遮断された結果、作業員の意図に反して加熱炉バーナーが消炎してしまった。そのため、作業員に焦りが生じ、バーナーを安全に再点火する場合の適切な措置を怠り、燃料ガス供給をすぐに再開したところ、高圧の加熱炉内に未燃ガスが流れ込み、爆発に至った。","a","b","b","a","b"
100,18094,"9月27日（月）定修のため冷凍機起動停止及び電源OFF（9／26までは問題なく運転していた）
※定修期間：9/23～10/24（シャットダウン～スタートアップ期間含む）
10月21日（木）19：30頃　冷凍機電源投入、高低圧異常ランプが点灯した。リセットボタンでもランプ消灯せず。冷凍機油が冷えていると考え、電源投入したまま翌日まで様子見（過去にも同様のケースあり）
10月22日（金）9・00頃　冷凍機再起動を試みたが起動できず。製造課から設備管理部へ連絡し、整備メーカーの手配を依頼した
10月23日（土）
10：00頃　整備メーカ一点検開始。低圧側圧力スイッチ作動　低圧側圧力　0.05MPaG指示（作動圧力0. 15MPaG)
 10：10頃　低圧側圧力スイッチを解除して冷凍機起動したが、約20秒で低圧側圧力が0. 15MPaGまで低下して停止した
10:30頃　フロンリークチェッカーで調査開始。冷凍機本体ユニット内の装置等は検知無し、ブライン（水）タンク内で検知あり
10:50頃　整備メーカーから弊社へ以下3点について伝えられた
①　点検結果より低圧側圧力スイッチ作動は冷媒量の不足が考えられる
②　フロン漏洩の場合、漏洩箇所はブライン冷却器の銅チューブが推測される
③　凝縮器入り出の手動弁を閉止した（凝縮器内に滞留しているフロンの漏出対応）
11月2日（火）メーカ再度来場し、フロン回収を行った（回収量：2. 6Kg)
11月4日（木）ブライン冷却器の発泡漏れ試験を行い．シェル側からチューブ側への漏れ(1本）を確認した
11月10日（水）ブライン冷却器から銅チューブを取外し、銅チューブの発泡漏れ試験を実施した。漏れ箇所は、銅チューブU字型の曲がり部（奥まった部位で、割れ箇所は直視出来ない）
11月11日（木）漏れ部位を切断解体し、漏れ筒所の詳細調査を実施
11月12日（金）銅チューブのロウ付け部に溶接不良と思われる割れを確認した
＊フロン排出抑制法の則った直近の点検実施日
定期点検：2020年10月27日
簡易点検：2021年9月26日","d","d","a","c","c"
128,5571,"事業所に設置された2重殻型円筒横型可搬式超低温容器（充てん容量2000L）1基に液化水素を充てん後、車両に当該容器を積載し移動を開始した。高速道路インターチェンジを走行中、当該容器の安全弁が作動し、水素ガスが漏えいした。車両はインターチェンジ付近の合流部附近の路肩に停車したが、安全確保のためサービスエリアに移動し、周辺の安全を確保して徐々に全ガスを放出した。原因は、内容器を外容器内にて固定・保持している板が、疲労により破断し、内容器が外容器内にて脱落したためとみられる。内容器は振動することとなり、このため内容器から外容器を貫通している配管の貫通継手溶接部に繰り返し応力がかかり、き裂が発生し、水素が内容器と外容器の間の真空層に入り込んで真空断熱不良が生じたため、温度及び圧力が上昇し、安全弁が作動して水素が噴出したものと考えられる。また、当該容器の検査履歴を確認した結果、法定通りの検査周期で検査が行われていなかった。さらに、充てん所も容器再検査済のチェックがなされないまま充てんしていた。今後は、容器管理を徹底することとした。","a","a","a","b","d"
54,11391,"台風24号の接近により10月7日に製造装置の運転を停止していた。台風通過後の10月8日に運転を再開し、装置運転を静定中の状況であった。オペレーターが10月9日未明の現場点検時に、反応器R-302入口配管に設置されているサンプリング配管付近に3～5cmの小炎を発見した。直ちに制御室に連絡し、近くから応援にきた別のオペレーターが消火器1本で消火した。人的被害および物的被害はなかった。サンプリング配管付け根のハーフカップリングと3/4インチ配管の隅肉溶接部配管側に、長さ約30mmの割れが確認された。原因は、割れ部分から漏れた高温ナフサが自然発火し、小炎になったと推定される。当該溶接部の形状が不良のため、配管の熱伸縮に伴う繰返し応力が形状不良部に集中し、割れに至ったものと考えられる。","a","a","a","b","d"
88,15132,"10月30日18時22分頃、塩素設備周辺のガス検知器が作動した。現地で漏えい箇所を確認中に、作動したガス検知器の数が増加したため、19時45分にプラントを停止させた。20時30分に塩素ガス漏えいは収束した。22時17分、漏えい箇所を確認した。湿潤塩素(主管)と乾燥塩素(枝管)が合流するノズル部に1～180mm程度の孔が多数確認された。乾燥塩素とノズルのチタンが激しく反応し、孔が開いたものとみられる(運転7日目で腐食)。原因は、耐震性能向上のために5カ年計画でガス設備の大口径配管の材質を塩ビからチタン(TP340)に変更していたが、変更の際、関係部門で確認を怠り、乾燥塩素が流入する部分も誤ってチタンに変更したためと推定される。","b","b","a","a","a"
322,16187,"充てん作業中、ガス検知器にて漏洩確認を行ったところ、2段出口リングジョイント部に漏れを確認したもの。締結不足によると推定。","d","a","a","c","a"
273,901,"定修後スタート準備中プロパン脱瀝部を冷軽油で洗っていた。循環中エアフィンクーラーより油が漏れ、下の熱交換器にふれたため自然発火した。","a","d","b","c","c"
101,9270,"高圧ポリエチレンプラントは、定修に入るためにプラントを停止して系内の脱圧、窒素パージ作業を実施していた。主圧縮機バイパスラインにおいて、18時10分頃、窒素パージ作業の前段階として残液確認のために運転員が圧力計で脱圧されていることを確認してから、ブローバルブを開けて鋼製ペール缶に受けていたところ、ノズルから出てきた1L程度の液体とガス状流体に着火した。ただちに、周りにいた運転員3名が消火器により消火した。原因は、残液確認時、液を受けるためにアースを取っていない絶縁状態の鋼製ペール缶を使用したことで缶が帯電し、バルブを閉める操作をするためにペール缶の取っ手をブローバルブに掛けようとした際の放電によって着火したものと推定される。今後は、残液確認作業時の静電気対策について新たに作業基準に規定を設けるとともに、運転員教育を実施して周知徹底を図る。","a","b","b","a","c"
61,11240,"6月3日21時20分頃、所員がパトロール中に、ETBE装置のポンプ吐出スタートアップ配管に設置されているグローブバルブのボンネット部(認定弁)ににじみ跡を認めたので、石けん水にて微量の発泡を確認した。当該バルブ周囲の弁により縁切りし、ブロックした部分はドレン弁からフレアーに脱圧した。金属接着剤にて仮補修を実施し、脱圧完了後もガス検知器にて漏れがないことを定期的に確認する。なお、漏えい量は最大でも0.1L程度と推定される。当該バルブは設置から約2年半であること、また、当該バルブについて放射線透過試験を行ったところ、バルブボンネット部にすが認められたことから、原因は弁の製作不良であると推定される。今後は、当該バルブ及び関係弁3箇所閉止による縁切り、ブロック箇所ドレン弁よりフレアーに脱圧後、バルブを更新する。","a","a","a","b","c"
135,15243,"29日6時頃、現場巡回中に硫化水素臭がしたため、確認したところ、漏えい箇所近辺で陽炎がかかっているのを発見した。応急処置として、当該箇所にスチーム放射を実施するとともに、系単独での孤立が不可能であるとの判断から、当該装置を停止した。その後、脱液･窒素置換を実施し、9時52分に現場ガス検知器で0％を確認し、その他確認後、10時35分に防災体制を解除した。スケール堆積部の配管外面にスチームトレースが直接接触し、水分が蒸発することで、腐食性物質が濃縮した。原因は、濃縮した硫化水素を主体とする湿性硫化物腐食により、腐食減肉したためと推定される。当該開孔配管を取り替えた。類似状況部の抽出･確認および配管取替を行った。","c","a","a","b","a"
221,13148,"当該施設内には液化塩素ローリ受入設備が2箇所あり、日中交互に受入を行っている。事故当日は片側の受入が終了し、受入配管内部の窒素置換も完了したので反対側設備の受入を開始するため、昇圧コンプレッサーの起動準備で吸入弁を開けたが、間違って養生済の弁を開けてしまった。すぐに気づいて弁を閉止したが、0.2MPaまで塩素ガスがコンプレッサー吐出弁まで導入されてしまったため、除害設備へ圧抜きを行う際、養生済のホースフランジ部より塩素ガスが漏えいし、付近で作業している作業者が塩素ガスを吸引し、被災した。原因は、確認不足のため間違った弁操作をし、さらに誤判断で手順書に無い操作をしてしまったためと推定される。また、ガス側ヘッダーに接続されている養生済の受入ホースの元弁が開いており、さらに乾燥用窒素に接続しているフランジ部が2本のボルトのみで締結されていたため、気密不良により塩素ガスが漏えいしたと考えられる。今後は、(1)圧縮機起動時の誤操作を防止する。圧縮機の起動場所から受入に使用するステージが視覚で判断されるように、色分け等で工夫した表示を取り付ける。(2)バルブの操作手順を徹底する。管理者が実際の操作手順を再確認して安全性を評価し、必要な操作手順の改訂を行ってこれを遵守させる。改訂にあたっては、「ローリ上で輸送会社運転手が作業をしている時には別な操作を行わないこと」「窒素ガス洗浄の操作はローリ退去後に行うこと」の安全上重要な部分を明確に記載する。輸送会社とも協議の上で、操作手順書を改定するまでの期間は、チェックリストを作成して一つ一つの手順を確認しながら作業を行う。(3)非定常作業を実施する際のルールを厳守する。緊急時以外は、非定常作業は主任による確認と許可を受けて実施するよう、従業員のルール遵守を再徹底した。(4)窒素乾燥用フランジの機密性を確保する。窒素乾燥用フランジのボルト止めを4本で行うように変更した。ガスケットを取り替える基準を設け、交換の頻度を上げる。(5)異常発生時のガード(防毒マスク)を行う。導管の付け外し時には防毒マスクを着用するよう、製造事業所と輸送会社で着用のルールを協議して運用する。","c","a","f","b","a"
113,18075,"11月10日11時38分頃、接触分解装置のポンプ吐出ラインにおいて、ナフサと液化石油ガスの混合物が漏えいした。","a","d","a","b","a"
387,652,"第2プラント定期修理前のMVC配管縁切作業中の事故である。液化モノマーがないことをパージロによって確認の後Ｃ及びＤのフランジに仕切り板を挿入しようとしたとき発火した。","a","d","b","a","c"
96,15404,"2/6に点検修理業者による定期点検を実施。リークテスターによる点検の結果、微量の冷媒ガス漏れがあるとの報告があった。実際の充てん量を確認する為、2/27に点検修理業者が、タンク内のフロンガスを抜き取ったところ、充てん量7.0㎏に対して、抜取量が5.1㎏であり、1.9㎏漏えいしていたことが判明した。
漏えいの原因は、経年劣化による締結部(圧縮機吐出側チェックジョイント部)の緩みと、経年劣化により溶接部(電磁弁溶接箇所）に生じたき裂が貫通したことが推定される。","d","a","a","b","c"
148,15799,"当事業所は、7/23より冷凍機2機の更新工事を行い、旧冷凍機2機を撤去し、7/30に廃止届および製造届提出。8/10に新冷凍機2機入荷、同日に据付作業を開始した。冷水冷凍機の足にローラーを取り付けて冷凍機基礎までチェーンブロックで引き込み、ローラーを外す為にジャッキアップした時に冷凍機がずれて凝縮器下部配管が基礎と接触し破損したため、冷媒ガスが漏えいした。1、冷凍機据付作業時のジャッキ操作ミス。
2、据付作業手順の不備。
3、安全対策不十分。","d","b","a","a","d"
174,1246,"原油タンクをナフサ貯蔵タンクに油種変更するため、ナフサ既設配管を接続する際、配管からナフサが流出し、そばで溶接作業をしていたため、火花で着火した。","a","b","f","c","a"
263,9,"液化酸素のタンクローリへの充てん作業を開始したが、昼食のため一旦作業を中断した。作業を再開しようとしたところ、液酸チャージ管（フレキシブルチューブ）の一部が破損しているのを発見したので、作業長を呼んで調査をした。作業長は、開放すべき放出弁が閉じられているのを発見し開けようとしたとき、液酸の圧力上昇のため、液酸チャージ管が破裂し、負傷した。","a","a","d","b","b"
47,17973,"運転中の高圧ガス製造施設において、海水回収槽内にあるガス検知器が発報した為、施設内の各熱交換器ごとに調査を行った所、熱交換器内部より海水側へのガス流入した事がわかった。当該熱交換器の海水をブロックし、装置は計画的に停止を実施した。","d","d","a","c","a"
199,15567,"4/27の日常点検時に、従業員が送ガス蒸発器入口分配管の溶接部分から窒素ガスの微量漏えい(ピンホールからの漏えい)を確認した。このため、他の類似部分についても漏えい検査を実施するとともに、ピンホール全2箇所を自己融着テープで塞ぎ、同日16:30、漏えいがないことを確認した。
なお、当該設備については、定期自主検査(4/5)および日常点検(4/26)において異常がないことを確認している。送ガス蒸発器のガス入口配管に配管支持材が設置されていなかったため、配管の自重を適切に支えることができず、送ガス蒸発器入口分配管の溶接部分に応力がかかり、き裂(ピンホール)が生じた。","d","a","a","b","a"
387,3434,"半導体の基板洗浄等に使う三フッ化ホウ素ガス（BF3）を製造している化学工場で充てん台主管からカードル容器にガスを充てんしていた。圧力が約10MPaに達した頃、カードル容器充てん口とカードル容器間に設けられた充てん枝管の曲管部が破断した。漏えいしたガスは空気中の水分と反応して白煙を出しながら工場周辺に漂ったため、消防署の広報車が「家の中に入って窓を閉めて」と呼びかけた。充てん枝管の元厚は2mmであるが、破損した曲管部の残肉厚は外周側で0.2mm、内周側で1.3mmとなっている。銅管の内表面は三フッ化ホウ素の不純物である硫黄との反応で黒ずんでおり、エロージョン・コロージョンの様相を呈している。当該枝管は使用開始後1.3年経過しており、充てん時のガス流速は約664ｍ／秒と非常に速い状態で充てんしている。一方、同じ充てん台主管から枝分かれして充てんしているバラ容器用充てん枝管を調査したところ、曲管部の減肉量は0.5mmと小さく、事故管にみられるような極端な偏肉はみられない。バラ容器用充てん枝管の使用期間は5年で、充てん時のガス流速は約51ｍ／秒である。","c","a","a","b","a"
18,13070,"5時00分の現場巡回時には異常はなかった。11時30分、巡回中にガス臭がしたので、原因調査を開始した。12時45分に、ガス漏えい箇所を発見した(ノズルフランジの保冷が凍結していることを発見)した。12時55分に、ガス漏えいと判断し通報した。2012年の定期修理では、機器を開放した際、開放工事後に実施した気密試験では漏れはなかった。原因は、該当フランジの締め付けが不均一だったため、その後のシャットダウン・スタートアップに伴う運転温度変化(締め付け時常温、運転時0℃前後)により、締め込みが不十分であったボルトが徐々に緩んだことによると推定される。","d","b","a","b","d"
424,15899,"アルキレーション装置のLPガス原料は、ストレーナーで原料中に含まれるスケールを除去したのち、各反応槽へ送られている。
8/29の夜勤担当者から、ストレーナーのスクレーパー作業時に、グランドパッキン部から若干の臭気があるとの申し送りがあった。そのため、運転員が巡回点検時に状況の確認を行った。
運転員は点検の際にスクレーパーのシャフト部分が、隣接しているストレーナーと比較して浮き上がっていたため、スクレーパーのギアボックス部に触れたところ、ストレーナー内圧によりシャフトが外れシャフト貫通部よりLPガスが漏えいした。運転員はLPガスの漏えいを止めるため、ストレーナーの上下流弁を閉止する際にLPガスを被液し凍傷を負った。この間、ガス検知器が発報したため、計器室でSD操作を行った。（調査中）
ストレーナーに付属しているスクレーパーを支える架台は、保冷材でおおわれており湿潤環境にあった。この架台が腐食により破損し、ストレーナーの内圧によりシャフトが抜けたもの。
このストレーナーについては、運転部門から修繕依頼が出され、工事を計画したものの他の緊急工事が入ったため、後回しにされている。事業者は、この補修延長にあたり、架台が破損してもシャフトは抜けないと認識したまま、補修実施時期の変更や補修までの対応を決定した事が根本原因と推定している。","c","b","f","b","d"
131,12950,"6月18日に、第3工場冷凍機が低圧異常にて停止した。6月22日にメーカー点検を実施したところ、蒸発器入りの冷媒配管(銅製)より冷媒フルオロカーボン404Aが漏えいしていることを発見した。直ちに冷媒を回収した。冷媒漏えい量は45.1kgであった。事故発生箇所の冷媒配管は、冷凍機発停時の冷媒温度変化により冷媒配管が収縮・膨張し、断熱膨張後の冷媒通液により冷媒配管が振動する。原因は、当該冷媒配管部には支持は施工されていたが、冷媒配管の収縮・膨張や振動に対しては、不適切であったことにより冷媒配管部に微細クラックが発生したためと推定される。　","d","a","a","b","a"
286,3788,"エチレン製造装置の分解炉配管をデコーキング処理した後、スタートアップ作業のため、ナフサを供給したところ、臭気を感じたので現場を点検した。その結果、分解炉出口配管フランジ部で小さな炎を発見したので、ナフサの供給を停止し鎮火した。分解炉出口配管継手部を開放してデコーキングを実施し、復旧する際に、ガスケットを外さずに清掃作業のみで復旧させたため、コークがガスケットにかみ込んだ状態となった。そして、この状態のままスタートアップ作業を行ったため、温度上昇に伴って分解ガスが漏えいし自然発火した。","c","a","f","b","a"
